模型,總參數B,活躍參數B,位元/參數,估算每token讀取GB,估算載入大小GB,實測TKS,執行結果,帶寬牆(VRAM/RAM/SSD),估算上限TKS
Gemma-4-E4B Uncensored Q4_K_P,4.0,,4.85,2.425,2.4,77,OK,VRAM,184.7
Bonsai-27B-1bit-CRACK Q1_0,27.0,,1.5,5.062,5.1,,LOOP,VRAM,88.5
Bonsai-27B Q1_0 (官方),27.0,,1.5,5.062,5.1,,LOOP,VRAM,88.5
Bonsai-27B-dspark-dflash Q4_0,27.0,,4.5,15.188,15.2,,OK,RAM,2.6
MiniCPM5-2B Q4_K_M,2.0,,4.85,1.212,1.2,120,OK,VRAM,369.5
Spark-X2.5-4B Q4_K_M,4.0,,4.85,2.425,2.4,100,OK,VRAM,184.7
K2-Horizon-7B Q4_K_M,7.0,,4.85,4.244,4.2,,NA,VRAM,105.6
Ornith-1.5-9B Q4_K_M,9.0,,4.85,5.456,5.5,60,OK,VRAM,82.1
Qwen3.8-4B-Distill Q4_K_M,4.0,,4.85,2.425,2.4,100,OK,VRAM,184.7
maple-preview TQ1_0,,,1.6,,,38,OK,無法估算,
gemma4-v2 Q3_K_M,12.0,,3.4,5.1,5.1,,LOOP,VRAM,87.8
Huihui-Qwen3-8B-ablit v2 Q4_K_M,8.0,,4.85,4.85,4.8,70,LOOP,VRAM,92.4
Qwen3.8-27B RVN Heretic IQ1_S,27.0,,1.56,5.265,5.3,30,LOOP,VRAM,85.1
Qwen3.8-9B Q4_K_M,9.0,,4.85,5.456,5.5,67,OK,VRAM,82.1
Ling-3.0-tiny Q4_K_M,3.0,,4.85,1.819,1.8,158,LOOP,VRAM,246.3
LFM2.5-2.6B Q4_K_M,2.6,,4.85,1.576,1.6,164,OK,VRAM,284.2
Phi-4-mini Q4_K_M,3.8,,4.85,2.304,2.3,116,LOOP,VRAM,194.5
Qwen3.6-14B-A3B FableVibes Q2_K,14.0,3.0,2.6,0.975,4.5,85,LOOP,VRAM,459.5
Qwen3-8B Q4_K_M (官方),8.0,,4.85,4.85,4.8,70,OK,VRAM,92.4
OxCoder-9B Q4_K_M,9.0,,4.85,5.456,5.5,67,OK,VRAM,82.1
Nanbeige4.2-3B Q4_K_M,3.0,,4.85,1.819,1.8,60,LOOP,VRAM,246.3
Gemma4-12B-QAT Uncensored,12.0,,4.85,7.275,7.3,12,OK,VRAM,61.6
gemma-4-12b-it-UD Q2_K_XL,12.0,,2.6,3.9,3.9,43,LOOP,VRAM,114.9
glm-4-9b-chat Q4_K_S,9.0,,4.6,5.175,5.2,50,OK,VRAM,86.6
Mistral-7B-Instruct-v0.3 Q4_K_M,7.0,,4.85,4.244,4.2,16,OK,VRAM,105.6
Qwen3.5-9B Defiant-Fable IQ3_M,9.0,,3.66,4.117,4.1,24,OK,VRAM,108.8
maple TQ2_0,,,1.8,,,,NA,無法估算,
Qwythos-9B Mythos MTP Q4_K_M,9.0,,4.85,5.456,5.5,10,LOOP,VRAM,82.1
Qwen3.8-27B-UD IQ1_S,27.0,,1.56,5.265,5.3,9,LOOP,VRAM,85.1
DeepSeek-R1-0528-Qwen3-8B Q4_K_M,8.0,,4.85,4.85,4.8,35,OK,VRAM,92.4
gemma-4-12B-it-qat-UD Q4_K_XL,12.0,,4.85,7.275,7.3,13,OK,VRAM,61.6
gemma-4-E4B-it-qat-UD Q4_K_XL,4.0,,4.85,2.425,2.4,65,OK,VRAM,184.7
Hermes-3-Llama-3.1-8B Q4_K_M,8.0,,4.85,4.85,4.8,50,OK,VRAM,92.4
DeepSeek-V4-Pro-Qwen3.5-9B-MTP Q4_K_M,9.0,,4.85,5.456,5.5,30,LOOP,VRAM,82.1
DeepSeek-Coder-V2-Lite IQ2_M,16.0,2.4,2.7,0.81,5.4,70,OK,VRAM,553.1
DeepSeek-R1-Distill-Qwen-14B IQ2_M,14.0,,2.7,4.725,4.7,25,LOOP,VRAM,94.8
DeepSeek-R1-Distill-Qwen-32B IQ2_M,32.0,,2.7,10.8,10.8,2,OK,RAM,3.7
internlm3-8b-instruct q4_k_m,8.0,,4.85,4.85,4.8,67,OK,VRAM,92.4
Yi-1.5-9B-Chat Q4_K_M,9.0,,4.85,5.456,5.5,67,OK,VRAM,82.1
aya-expanse-8b Q4_K_M,8.0,,4.85,4.85,4.8,70,OK,VRAM,92.4
Qwen2.5-7B-Instruct Q4_K_M,7.0,,4.85,4.244,4.2,,OK,VRAM,105.6
Qwen3-14B-Claude-4.5-Opus-Distill Q3_K_S,14.0,,3.3,5.775,5.8,25,OK,VRAM,77.6
TieFighter-Holodeck-20B IQ2_M,20.0,,2.7,6.75,6.8,14,OK,VRAM,66.4
Moonlight-16B-A3B IQ2_XS,16.0,3.0,2.5,0.938,5.0,,OK,VRAM,477.9
amd.Instella-MoE-16B-A3B Q2_K,16.0,3.0,2.6,0.975,5.2,,NA,VRAM,459.5
bohf-12b-moe-3a q4_k_m,12.0,3.0,4.85,1.819,7.3,,LOOP,VRAM,246.3
gemma-4-E4B-it-OBLITERATED i1-Q4_K_S,4.0,,4.6,2.3,2.3,84,OK,VRAM,194.8
gemma-4-26B-A4B-it-UD Q2_K_XL,26.0,4.0,2.6,1.3,8.5,10,OK,RAM,30.8
gemma-4-26B-A4B + Q8MTP (n_max=1),26.0,4.0,2.6,1.3,8.5,35,OK,RAM,30.8
